Aachen, Germany:::633175:::Aachen, Germany
Ulricehamn, Sweden:::908453:::Ulricehamn, Sweden
Ulsan, South Korea:::1132578:::Ulsan, South Korea
Umeå, Sweden:::908519:::Umeå, Sweden
Uppsala, Sweden:::908572:::Uppsala, Sweden
Utrecht, Netherlands:::734047:::Utrecht, Netherlands
Vac, Hungary:::817315:::Vac, Hungary
Val Thorens, France:::20210382:::Val Thorens, France
Val-d'Isere, France:::629779:::Val-d'Isere, France
Valencia, Spain:::776688:::Valencia, Spain
Valletta, Malta:::483559:::Valletta, Malta
Valparaiso, Chile:::349861:::Valparaiso, Chile
Vancouver, Canada:::9807:::Vancouver, Canada
Vanuatu:::1050907:::Vanuatu
Varadero, Cuba:::68483:::Varadero, Cuba
Varberg, Sweden:::909053:::Varberg, Sweden
Varese, Italy:::725677:::Varese, Italy
Varna, Bulgaria:::840430:::Varna, Bulgaria
Varsova, Poland:::523920:::Varsova, Poland
Vasterås, Sweden:::909319:::Vasterås, Sweden
Vatican Republic:::721943:::Vatican Republic
Venetsia, Italy:::725746:::Venetsia, Italy
Ventspils, Latvia:::856069:::Ventspils, Latvia
Verbier, Switzerland:::784554:::Verbier, Switzerland
Verdun, France:::630677:::Verdun, France
Verkhoyansk, Russia:::2105936:::Verkhoyansk, Russia
Verona, Italy:::725791:::Verona, Italy
Versailles, France:::630908:::Versailles, France
Viareggio, Italy:::725860:::Viareggio, Italy
Vichy, France:::631121:::Vichy, France
Victoria, Canada:::9848:::Victoria, Canada
Vientiane, Laos:::1140612:::Vientiane, Laos
Vigo, Spain:::777341:::Vigo, Spain
Vilamoura, Portugal:::24875672:::Vilamoura, Portugal
Vilna, Lithuania:::479616:::Vilna, Lithuania
Visby, Sweden:::910100:::Visby, Sweden
Vitebsk, Belarus:::833052:::Vitebsk, Belarus
Vladimir, Russia:::2124281:::Vladimir, Russia
Vladivostok, Russia:::2124288:::Vladivostok, Russia
Volgograd, Russia:::2124298:::Volgograd, Russia
Vologda, Russia:::2124305:::Vologda, Russia
Vorkuta, Russia:::2124326:::Vorkuta, Russia
Vranje, Serbia:::537548:::Vranje, Serbia
Vyborg, Russia:::2124387:::Vyborg, Russia
Walvis Bay, Namibia:::1466697:::Walvis Bay, Namibia
Warnemünde, Germany:::26823188:::Warnemünde, Germany
Washington, USA:::2514815:::Washington, USA
Wellington, New Zealand:::2351310:::Wellington, New Zealand
Wien, Austria:::551801:::Wien, Austria
Wiesbaden, Germany:::706329:::Wiesbaden, Germany
Windhoek, Namibia:::1466719:::Windhoek, Namibia
Wittenberg, Germany:::673158:::Wittenberg, Germany
Wroclaw, Poland:::526363:::Wroclaw, Poland
Wuhan, China:::2163866:::Wuhan, China
Würzburg, Germany:::708287:::Würzburg, Germany
Värnamo, Sweden:::909106:::Värnamo, Sweden
Yalta, Ukraine:::938849:::Yalta, Ukraine
Yaounde, Cameroun:::1305860:::Yaounde, Cameroun
Yaroslavl, Russia:::2122265:::Yaroslavl, Russia
Yerevan, Armenia:::2214662:::Yerevan, Armenia
Ystad, Sweden:::910301:::Ystad, Sweden
Zagreb, Croatia:::851128:::Zagreb, Croatia
Zakynthos, Greece:::965569:::Zakynthos, Greece
Zanzibar, Tansania:::1450016:::Zanzibar, Tansania
Zaporoze, Ukraine:::939628:::Zaporoze, Ukraine
Zaragoza, Spain:::779063:::Zaragoza, Spain
Zell am See, Austria:::548011:::Zell am See, Austria
Zermatt, Switzerland:::784766:::Zermatt, Switzerland
Zinder, Niger:::1383391:::Zinder, Niger
Zug, Switzerland:::784784:::Zug, Switzerland
Zürich, Switzerland:::784794:::Zürich, Switzerland
Århus, Denmark:::552015:::Århus, Denmark
Ölüdeniz, Turkey:::56125725:::Ölüdeniz, Turkey
Örnsköldsvik, Sweden:::900809:::Örnsköldsvik, Sweden
